as_of,symbol,bias,instrument,action,side,expiry,strike,entry_price,sl_premium,sl_invalidation,t1_underlying,t1_premium,t2_underlying,t2_premium,confidence,spot,ltp,iv,dte,theta_per_day,delta,extrinsic,sell_by
2025-12-16,INFY,BEARISH,OPTION,BUY,PE,30/12/2025,1600.0,21.78,12.48,1607.85,1572.96,33.39,1553.03,42.68,0.45,1592.9,22.45,16.87,14,-0.59,-0.51,15.35,2025-12-27
2025-12-16,INFY.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,ITC,BULLISH,OPTION,BUY,CE,30/12/2025,402.5,4.03,2.31,399.21,405.02,6.17,408.33,7.89,0.74,401.7,4.15,12.78,14,-0.18,0.52,4.15,2025-12-26
2025-12-16,ITC.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,JSWSTEEL,BEARISH,OPTION,BUY,PE,30/12/2025,1080.0,15.76,9.04,1099.25,1060.39,24.17,1038.19,30.9,0.95,1082.6,16.25,22.37,14,-0.57,-0.45,16.25,2025-12-28
2025-12-16,JSWSTEEL.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,KOTAKBANK,BULLISH,OPTION,BUY,CE,30/12/2025,2180.0,30.85,17.68,2161.71,2209.99,47.3,2237.58,60.46,0.52,2182.4,31.8,16.15,14,-1.2,0.55,29.4,2025-12-27
2025-12-16,KOTAKBANK.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,LT,BEARISH,OPTION,BUY,PE,30/12/2025,4060.0,39.24,22.49,4101.19,4013.95,60.17,3964.1,76.91,0.69,4063.8,40.45,14.97,14,-1.33,-0.45,40.45,2025-12-29
2025-12-16,LT.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,M&M,BULLISH,OPTION,BUY,CE,30/12/2025,3600.0,72.41,41.51,3582.32,3672.58,111.03,3724.15,141.93,0.67,3621.0,74.65,20.6,14,-2.42,0.59,53.65,2025-12-25
2025-12-16,M&M.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,MARUTI,BEARISH,OPTION,BUY,PE,30/12/2025,16400.0,183.33,105.1,16497.83,16162.23,281.12,15970.46,359.35,0.56,16354.0,189.0,14.71,14,-5.12,-0.5,143.0,2025-12-28
2025-12-16,MARUTI.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,NESTLEIND,BULLISH,OPTION,BUY,CE,30/12/2025,1240.0,17.99,10.32,1229.41,1255.51,27.59,1270.43,35.27,0.76,1240.6,18.55,17.06,14,-0.71,0.54,17.95,2025-12-27
2025-12-16,NESTLEIND.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,NTPC,BEARISH,OPTION,BUY,PE,30/12/2025,320.0,2.76,1.58,323.55,317.6,4.24,314.19,5.42,0.51,321.0,2.85,14.82,14,-0.1,-0.42,2.85,2025-12-28
2025-12-16,NTPC.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,ONGC,BEARISH,OPTION,BUY,PE,30/12/2025,232.5,2.92,1.67,234.53,229.12,4.48,226.03,5.72,0.91,232.21,3.01,17.51,14,-0.09,-0.48,2.72,2025-12-29
2025-12-16,ONGC.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,POWERGRID,BEARISH,OPTION,BUY,PE,30/12/2025,260.0,2.67,1.53,262.66,257.26,4.09,254.18,5.23,0.49,260.35,2.75,15.99,14,-0.09,-0.44,2.75,2025-12-29
2025-12-16,POWERGRID.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,RELIANCE,BULLISH,OPTION,BUY,CE,30/12/2025,1540.0,21.39,12.26,1529.79,1558.99,32.8,1575.67,41.92,0.44,1542.3,22.05,15.52,14,-0.82,0.56,19.75,2025-12-26
2025-12-16,RELIANCE.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,SBIN,BEARISH,OPTION,BUY,PE,30/12/2025,960.0,9.55,5.48,970.11,949.2,14.65,937.26,18.73,0.45,961.15,9.85,15.5,14,-0.33,-0.44,9.85,2025-12-29
2025-12-16,SBIN.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,TATACONSUM,BULLISH,OPTION,BUY,CE,30/12/2025,1170.0,19.98,11.46,1157.07,1187.0,30.64,1204.11,39.17,0.74,1169.9,20.6,20.86,14,-0.79,0.53,20.6,2025-12-27
2025-12-16,TATACONSUM.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,TATASTEEL,BEARISH,OPTION,BUY,PE,30/12/2025,170.0,2.45,1.41,171.77,167.25,3.76,164.66,4.81,0.62,169.83,2.53,20.14,14,-0.08,-0.48,2.36,2025-12-29
2025-12-16,TATASTEEL.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,TITAN,BULLISH,OPTION,BUY,CE,30/12/2025,3920.0,54.8,31.42,3891.85,3979.71,84.04,4029.91,107.43,0.76,3929.5,56.5,14.96,14,-2.03,0.57,47.0,2025-12-26
2025-12-16,TITAN.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
2025-12-16,WIPRO,BEARISH,OPTION,BUY,PE,30/12/2025,260.0,3.83,2.2,261.41,256.29,5.88,253.37,7.51,0.55,259.22,3.95,19.3,14,-0.11,-0.5,3.17,2025-12-28
2025-12-16,WIPRO.NS,NEUTRAL,NONE,HOLD,,,,,,,,,,,0.0,,,,,,,,
